"","z1","z2","z3","z4","z5","m11","m12","m13","m14","m15","m21","m22","m23","m24","m25","a11","a12","a13","a14","a15","a21","a22","a23","a24","a25","a31","a32","a33","a34","a35","obj cost","yield","test cost","mod cost","RR disease 1","RR disease 2","RR disease 3","RR disease 4"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6309750,6309750,6309750,6309750,6309750,6309750,6309750,6309750
"3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8680680,8680680,8680680,8680680,8680680,8680680,8680680,8680680
"4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990430,5990430,5990430,5990430,5990430,5990430,5990430,5990430
"5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167760,9167760,9167760,9167760,9167760,9167760,9167760,9167760
"6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6477510,6477510,6477510,6477510,6477510,6477510,6477510,6477510
"7",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8848440,8848440,8848440,8848440,8848440,8848440,8848440,8848440
"8",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6158190,6158190,6158190,6158190,6158190,6158190,6158190,6158190
"9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10387240,10387240,10387240,10387240,10387240,10387240,10387240,10387240
"10",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696990,7696990,7696990,7696990,7696990,7696990,7696990,7696990
"11",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10067920,10067920,10067920,10067920,10067920,10067920,10067920,10067920
"12",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7377670,7377670,7377670,7377670,7377670,7377670,7377670,7377670
"13",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10555000,10555000,10555000,10555000,10555000,10555000,10555000,10555000
"14",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7864750,7864750,7864750,7864750,7864750,7864750,7864750,7864750
"15",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10235680,10235680,10235680,10235680,10235680,10235680,10235680,10235680
"16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7545430,7545430,7545430,7545430,7545430,7545430,7545430,7545430
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9045730,9045730,9045730,9045730,9045730,9045730,9045730,9045730
"18",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6355480,6355480,6355480,6355480,6355480,6355480,6355480,6355480
"19",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8726410,8726410,8726410,8726410,8726410,8726410,8726410,8726410
"20",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036160,6036160,6036160,6036160,6036160,6036160,6036160,6036160
"21",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9213490,9213490,9213490,9213490,9213490,9213490,9213490,9213490
"22",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6523240,6523240,6523240,6523240,6523240,6523240,6523240,6523240
"23",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8894170,8894170,8894170,8894170,8894170,8894170,8894170,8894170
"24",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6203920,6203920,6203920,6203920,6203920,6203920,6203920,6203920
"25",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10432970,10432970,10432970,10432970,10432970,10432970,10432970,10432970
"26",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742720,7742720,7742720,7742720,7742720,7742720,7742720,7742720
"27",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10113650,10113650,10113650,10113650,10113650,10113650,10113650,10113650
"28",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7423400,7423400,7423400,7423400,7423400,7423400,7423400,7423400
"29",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600730,10600730,10600730,10600730,10600730,10600730,10600730,10600730
"30",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7910480,7910480,7910480,7910480,7910480,7910480,7910480,7910480
"31",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10281410,10281410,10281410,10281410,10281410,10281410,10281410,10281410
"32",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7591160,7591160,7591160,7591160,7591160,7591160,7591160,7591160
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06,9e+06
"34",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6288300,6288300,6288300,6288300,6288300,6288300,6288300,6288300
"35",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8674464,8674464,8674464,8674464,8674464,8674464,8674464,8674464
"36",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5962764,5962764,5962764,5962764,5962764,5962764,5962764,5962764
"37",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074528,9074528,9074528,9074528,9074528,9074528,9074528,9074528
"38",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6362828,6362828,6362828,6362828,6362828,6362828,6362828,6362828
"39",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8748992,8748992,8748992,8748992,8748992,8748992,8748992,8748992
"40",1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6037292,6037292,6037292,6037292,6037292,6037292,6037292,6037292
"41",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10081032,10081032,10081032,10081032,10081032,10081032,10081032,10081032
"42",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7369332,7369332,7369332,7369332,7369332,7369332,7369332,7369332
"43",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9755496,9755496,9755496,9755496,9755496,9755496,9755496,9755496
"44",1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7043796,7043796,7043796,7043796,7043796,7043796,7043796,7043796
"45",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10155560,10155560,10155560,10155560,10155560,10155560,10155560,10155560
"46",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7443860,7443860,7443860,7443860,7443860,7443860,7443860,7443860
"47",0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9830024,9830024,9830024,9830024,9830024,9830024,9830024,9830024
"48",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7118324,7118324,7118324,7118324,7118324,7118324,7118324,7118324
"49",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9029124,9029124,9029124,9029124,9029124,9029124,9029124,9029124
"50",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6317424,6317424,6317424,6317424,6317424,6317424,6317424,6317424
"51",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8703588,8703588,8703588,8703588,8703588,8703588,8703588,8703588
"52",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5991888,5991888,5991888,5991888,5991888,5991888,5991888,5991888
